"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"fpt2",4,2,1000,100,34,"vcm","3",3,NA,"lm_forest",0.030224334956425
"grad",4,2,1000,100,35,"vcm","3",3,NA,"lm_forest",0.0348424289337481
"fpt1",4,2,1000,100,35,"vcm","3",3,NA,"lm_forest",0.0354042490906226
"fpt2",4,2,1000,100,35,"vcm","3",3,NA,"lm_forest",0.034097352646252
"grad",4,2,1000,100,36,"vcm","3",3,NA,"lm_forest",0.0288749687007735
"fpt1",4,2,1000,100,36,"vcm","3",3,NA,"lm_forest",0.0281040437858403
"fpt2",4,2,1000,100,36,"vcm","3",3,NA,"lm_forest",0.0275284384981938
"grad",4,2,1000,100,37,"vcm","3",3,NA,"lm_forest",0.0356269306685785
"fpt1",4,2,1000,100,37,"vcm","3",3,NA,"lm_forest",0.0366844447277898
"fpt2",4,2,1000,100,37,"vcm","3",3,NA,"lm_forest",0.0363108246638625
"grad",4,2,1000,100,38,"vcm","3",3,NA,"lm_forest",0.0248735479547772
"fpt1",4,2,1000,100,38,"vcm","3",3,NA,"lm_forest",0.0258428176868023
"fpt2",4,2,1000,100,38,"vcm","3",3,NA,"lm_forest",0.0259281192078187
"grad",4,2,1000,100,39,"vcm","3",3,NA,"lm_forest",0.0271788556779792
"fpt1",4,2,1000,100,39,"vcm","3",3,NA,"lm_forest",0.0281210843547473
"fpt2",4,2,1000,100,39,"vcm","3",3,NA,"lm_forest",0.028590817225997
"grad",4,2,1000,100,40,"vcm","3",3,NA,"lm_forest",0.0309355977958485
"fpt1",4,2,1000,100,40,"vcm","3",3,NA,"lm_forest",0.0322764870664038
"fpt2",4,2,1000,100,40,"vcm","3",3,NA,"lm_forest",0.0309817965247786
"grad",4,2,1000,100,41,"vcm","3",3,NA,"lm_forest",0.0238494818037207
"fpt1",4,2,1000,100,41,"vcm","3",3,NA,"lm_forest",0.023481882970781
"fpt2",4,2,1000,100,41,"vcm","3",3,NA,"lm_forest",0.0238563612679987
"grad",4,2,1000,100,42,"vcm","3",3,NA,"lm_forest",0.0405796752582897
"fpt1",4,2,1000,100,42,"vcm","3",3,NA,"lm_forest",0.0380280537845192
"fpt2",4,2,1000,100,42,"vcm","3",3,NA,"lm_forest",0.0385707026146651
"grad",4,2,1000,100,43,"vcm","3",3,NA,"lm_forest",0.0297866462610359
"fpt1",4,2,1000,100,43,"vcm","3",3,NA,"lm_forest",0.0300478559611929
"fpt2",4,2,1000,100,43,"vcm","3",3,NA,"lm_forest",0.0295256339233238
"grad",4,2,1000,100,44,"vcm","3",3,NA,"lm_forest",0.0310329895690358
"fpt1",4,2,1000,100,44,"vcm","3",3,NA,"lm_forest",0.0314504397451516
"fpt2",4,2,1000,100,44,"vcm","3",3,NA,"lm_forest",0.0308704841964525
"grad",4,2,1000,100,45,"vcm","3",3,NA,"lm_forest",0.0251989084918114
"fpt1",4,2,1000,100,45,"vcm","3",3,NA,"lm_forest",0.0253723875923864
"fpt2",4,2,1000,100,45,"vcm","3",3,NA,"lm_forest",0.0249536841863427
"grad",4,2,1000,100,46,"vcm","3",3,NA,"lm_forest",0.0255573710620674
"fpt1",4,2,1000,100,46,"vcm","3",3,NA,"lm_forest",0.0256925472123107
"fpt2",4,2,1000,100,46,"vcm","3",3,NA,"lm_forest",0.0247878062467756
"grad",4,2,1000,100,47,"vcm","3",3,NA,"lm_forest",0.0230264340702705
"fpt1",4,2,1000,100,47,"vcm","3",3,NA,"lm_forest",0.0228261853659075
"fpt2",4,2,1000,100,47,"vcm","3",3,NA,"lm_forest",0.0229805423677935
"grad",4,2,1000,100,48,"vcm","3",3,NA,"lm_forest",0.0295690921539423
"fpt1",4,2,1000,100,48,"vcm","3",3,NA,"lm_forest",0.0288511590746732
"fpt2",4,2,1000,100,48,"vcm","3",3,NA,"lm_forest",0.0290375293718458
"grad",4,2,1000,100,49,"vcm","3",3,NA,"lm_forest",0.0332300970675128
"fpt1",4,2,1000,100,49,"vcm","3",3,NA,"lm_forest",0.032735135891611
"fpt2",4,2,1000,100,49,"vcm","3",3,NA,"lm_forest",0.0326253367089665
"grad",4,2,1000,100,50,"vcm","3",3,NA,"lm_forest",0.0231054870236958
"fpt1",4,2,1000,100,50,"vcm","3",3,NA,"lm_forest",0.0233734744903657
"fpt2",4,2,1000,100,50,"vcm","3",3,NA,"lm_forest",0.0216753031473633
"grad",16,2,1000,100,1,"vcm","3",3,NA,"lm_forest",0.02773345515558
"fpt1",16,2,1000,100,1,"vcm","3",3,NA,"lm_forest",0.02838425039932
"fpt2",16,2,1000,100,1,"vcm","3",3,NA,"lm_forest",0.0268954292891499
"grad",16,2,1000,100,2,"vcm","3",3,NA,"lm_forest",0.0248274326071104
"fpt1",16,2,1000,100,2,"vcm","3",3,NA,"lm_forest",0.0245131655705729
"fpt2",16,2,1000,100,2,"vcm","3",3,NA,"lm_forest",0.0230431444290045
"grad",16,2,1000,100,3,"vcm","3",3,NA,"lm_forest",0.0287689353007298
"fpt1",16,2,1000,100,3,"vcm","3",3,NA,"lm_forest",0.0297033996361332
"fpt2",16,2,1000,100,3,"vcm","3",3,NA,"lm_forest",0.0303995734026084
"grad",16,2,1000,100,4,"vcm","3",3,NA,"lm_forest",0.0236691331919894
"fpt1",16,2,1000,100,4,"vcm","3",3,NA,"lm_forest",0.0229985058517915
"fpt2",16,2,1000,100,4,"vcm","3",3,NA,"lm_forest",0.0207714759720095
"grad",16,2,1000,100,5,"vcm","3",3,NA,"lm_forest",0.024344205951028
"fpt1",16,2,1000,100,5,"vcm","3",3,NA,"lm_forest",0.0236617331841333
"fpt2",16,2,1000,100,5,"vcm","3",3,NA,"lm_forest",0.0234754766232517
"grad",16,2,1000,100,6,"vcm","3",3,NA,"lm_forest",0.0202900423227239
"fpt1",16,2,1000,100,6,"vcm","3",3,NA,"lm_forest",0.0198350813419764
"fpt2",16,2,1000,100,6,"vcm","3",3,NA,"lm_forest",0.0215589156531469
"grad",16,2,1000,100,7,"vcm","3",3,NA,"lm_forest",0.0257920029231771
"fpt1",16,2,1000,100,7,"vcm","3",3,NA,"lm_forest",0.0262231401356448
"fpt2",16,2,1000,100,7,"vcm","3",3,NA,"lm_forest",0.0243133909059811
"grad",16,2,1000,100,8,"vcm","3",3,NA,"lm_forest",0.0269352096641167
"fpt1",16,2,1000,100,8,"vcm","3",3,NA,"lm_forest",0.0255201916589295
"fpt2",16,2,1000,100,8,"vcm","3",3,NA,"lm_forest",0.0261511183885972
"grad",16,2,1000,100,9,"vcm","3",3,NA,"lm_forest",0.0250079912242519
"fpt1",16,2,1000,100,9,"vcm","3",3,NA,"lm_forest",0.0248630840310582
"fpt2",16,2,1000,100,9,"vcm","3",3,NA,"lm_forest",0.0241564606887962
"grad",16,2,1000,100,10,"vcm","3",3,NA,"lm_forest",0.0358760107689175
"fpt1",16,2,1000,100,10,"vcm","3",3,NA,"lm_forest",0.0352113167439384
"fpt2",16,2,1000,100,10,"vcm","3",3,NA,"lm_forest",0.0334824643031228
"grad",16,2,1000,100,11,"vcm","3",3,NA,"lm_forest",0.0239272119963893
"fpt1",16,2,1000,100,11,"vcm","3",3,NA,"lm_forest",0.0242317765582852
"fpt2",16,2,1000,100,11,"vcm","3",3,NA,"lm_forest",0.0243922199095286
"grad",16,2,1000,100,12,"vcm","3",3,NA,"lm_forest",0.0315028785847402
"fpt1",16,2,1000,100,12,"vcm","3",3,NA,"lm_forest",0.0314126647407027
"fpt2",16,2,1000,100,12,"vcm","3",3,NA,"lm_forest",0.0304369501864968
"grad",16,2,1000,100,13,"vcm","3",3,NA,"lm_forest",0.0296651297667051
"fpt1",16,2,1000,100,13,"vcm","3",3,NA,"lm_forest",0.0295270600526999
"fpt2",16,2,1000,100,13,"vcm","3",3,NA,"lm_forest",0.0306245524495233
"grad",16,2,1000,100,14,"vcm","3",3,NA,"lm_forest",0.0252261754892996
"fpt1",16,2,1000,100,14,"vcm","3",3,NA,"lm_forest",0.0254690232590325
"fpt2",16,2,1000,100,14,"vcm","3",3,NA,"lm_forest",0.0247321167716768
"grad",16,2,1000,100,15,"vcm","3",3,NA,"lm_forest",0.0219336829745495
"fpt1",16,2,1000,100,15,"vcm","3",3,NA,"lm_forest",0.0211297253296971
"fpt2",16,2,1000,100,15,"vcm","3",3,NA,"lm_forest",0.0222007770605672
"grad",16,2,1000,100,16,"vcm","3",3,NA,"lm_forest",0.0210104698446429
"fpt1",16,2,1000,100,16,"vcm","3",3,NA,"lm_forest",0.0206410352940364
"fpt2",16,2,1000,100,16,"vcm","3",3,NA,"lm_forest",0.0209575593430965
"grad",16,2,1000,100,17,"vcm","3",3,NA,"lm_forest",0.0279915543628953
"fpt1",16,2,1000,100,17,"vcm","3",3,NA,"lm_forest",0.0267101331308912
"fpt2",16,2,1000,100,17,"vcm","3",3,NA,"lm_forest",0.0261240337472999
"grad",16,2,1000,100,18,"vcm","3",3,NA,"lm_forest",0.0256828152340753
"fpt1",16,2,1000,100,18,"vcm","3",3,NA,"lm_forest",0.0248751797620288
"fpt2",16,2,1000,100,18,"vcm","3",3,NA,"lm_forest",0.0246715994061482
