"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"grad",16,2,1000,100,18,"hte","4","3","2","multi_arm_causal_forest",0.137924312389078
"fpt1",16,2,1000,100,18,"hte","4","3","2","multi_arm_causal_forest",0.137924312389078
"fpt2",16,2,1000,100,18,"hte","4","3","2","multi_arm_causal_forest",0.137924312389078
"grad",16,2,1000,100,19,"hte","4","3","2","multi_arm_causal_forest",0.1799340664827
"fpt1",16,2,1000,100,19,"hte","4","3","2","multi_arm_causal_forest",0.179955897046575
"fpt2",16,2,1000,100,19,"hte","4","3","2","multi_arm_causal_forest",0.179994519753133
"grad",16,2,1000,100,20,"hte","4","3","2","multi_arm_causal_forest",0.0932087878990979
"fpt1",16,2,1000,100,20,"hte","4","3","2","multi_arm_causal_forest",0.0932087878990979
"fpt2",16,2,1000,100,20,"hte","4","3","2","multi_arm_causal_forest",0.0932087878990979
"grad",16,2,1000,100,21,"hte","4","3","2","multi_arm_causal_forest",0.106733476754989
"fpt1",16,2,1000,100,21,"hte","4","3","2","multi_arm_causal_forest",0.106733476754989
"fpt2",16,2,1000,100,21,"hte","4","3","2","multi_arm_causal_forest",0.106733476754989
"grad",16,2,1000,100,22,"hte","4","3","2","multi_arm_causal_forest",0.108764819342458
"fpt1",16,2,1000,100,22,"hte","4","3","2","multi_arm_causal_forest",0.108764819342458
"fpt2",16,2,1000,100,22,"hte","4","3","2","multi_arm_causal_forest",0.108764819342458
"grad",16,2,1000,100,23,"hte","4","3","2","multi_arm_causal_forest",0.0938419918350748
"fpt1",16,2,1000,100,23,"hte","4","3","2","multi_arm_causal_forest",0.0938419918350748
"fpt2",16,2,1000,100,23,"hte","4","3","2","multi_arm_causal_forest",0.0938419918350748
"grad",16,2,1000,100,24,"hte","4","3","2","multi_arm_causal_forest",0.139360717344398
"fpt1",16,2,1000,100,24,"hte","4","3","2","multi_arm_causal_forest",0.139360717344398
"fpt2",16,2,1000,100,24,"hte","4","3","2","multi_arm_causal_forest",0.139360717344398
"grad",16,2,1000,100,25,"hte","4","3","2","multi_arm_causal_forest",0.083970279068481
"fpt1",16,2,1000,100,25,"hte","4","3","2","multi_arm_causal_forest",0.083970279068481
"fpt2",16,2,1000,100,25,"hte","4","3","2","multi_arm_causal_forest",0.083970279068481
"grad",16,2,1000,100,26,"hte","4","3","2","multi_arm_causal_forest",0.0991669252071356
"fpt1",16,2,1000,100,26,"hte","4","3","2","multi_arm_causal_forest",0.0991669252071356
"fpt2",16,2,1000,100,26,"hte","4","3","2","multi_arm_causal_forest",0.0991669252071356
"grad",16,2,1000,100,27,"hte","4","3","2","multi_arm_causal_forest",0.118753730629717
"fpt1",16,2,1000,100,27,"hte","4","3","2","multi_arm_causal_forest",0.118753730629717
"fpt2",16,2,1000,100,27,"hte","4","3","2","multi_arm_causal_forest",0.118753730629717
"grad",16,2,1000,100,28,"hte","4","3","2","multi_arm_causal_forest",0.1266607729358
"fpt1",16,2,1000,100,28,"hte","4","3","2","multi_arm_causal_forest",0.1266607729358
"fpt2",16,2,1000,100,28,"hte","4","3","2","multi_arm_causal_forest",0.1266607729358
"grad",16,2,1000,100,29,"hte","4","3","2","multi_arm_causal_forest",0.101234075389079
"fpt1",16,2,1000,100,29,"hte","4","3","2","multi_arm_causal_forest",0.101234075389079
"fpt2",16,2,1000,100,29,"hte","4","3","2","multi_arm_causal_forest",0.101234075389079
"grad",16,2,1000,100,30,"hte","4","3","2","multi_arm_causal_forest",0.148524207514606
"fpt1",16,2,1000,100,30,"hte","4","3","2","multi_arm_causal_forest",0.148524207514606
"fpt2",16,2,1000,100,30,"hte","4","3","2","multi_arm_causal_forest",0.148524207514606
"grad",16,2,1000,100,31,"hte","4","3","2","multi_arm_causal_forest",0.085382452406241
"fpt1",16,2,1000,100,31,"hte","4","3","2","multi_arm_causal_forest",0.085382452406241
"fpt2",16,2,1000,100,31,"hte","4","3","2","multi_arm_causal_forest",0.085382452406241
"grad",16,2,1000,100,32,"hte","4","3","2","multi_arm_causal_forest",0.0795643574124907
"fpt1",16,2,1000,100,32,"hte","4","3","2","multi_arm_causal_forest",0.0795643574124907
"fpt2",16,2,1000,100,32,"hte","4","3","2","multi_arm_causal_forest",0.0795643574124907
"grad",16,2,1000,100,33,"hte","4","3","2","multi_arm_causal_forest",0.0672339325503874
"fpt1",16,2,1000,100,33,"hte","4","3","2","multi_arm_causal_forest",0.0672335984831454
"fpt2",16,2,1000,100,33,"hte","4","3","2","multi_arm_causal_forest",0.0672335984831454
"grad",16,2,1000,100,34,"hte","4","3","2","multi_arm_causal_forest",0.081000786129435
"fpt1",16,2,1000,100,34,"hte","4","3","2","multi_arm_causal_forest",0.081000786129435
"fpt2",16,2,1000,100,34,"hte","4","3","2","multi_arm_causal_forest",0.081000786129435
"grad",16,2,1000,100,35,"hte","4","3","2","multi_arm_causal_forest",0.0970745310606876
"fpt1",16,2,1000,100,35,"hte","4","3","2","multi_arm_causal_forest",0.0970745310606876
"fpt2",16,2,1000,100,35,"hte","4","3","2","multi_arm_causal_forest",0.0970745310606876
"grad",16,2,1000,100,36,"hte","4","3","2","multi_arm_causal_forest",0.102036890375167
"fpt1",16,2,1000,100,36,"hte","4","3","2","multi_arm_causal_forest",0.102036890375167
"fpt2",16,2,1000,100,36,"hte","4","3","2","multi_arm_causal_forest",0.102036890375167
"grad",16,2,1000,100,37,"hte","4","3","2","multi_arm_causal_forest",0.0879016958444743
"fpt1",16,2,1000,100,37,"hte","4","3","2","multi_arm_causal_forest",0.0879016958444743
"fpt2",16,2,1000,100,37,"hte","4","3","2","multi_arm_causal_forest",0.0879016958444743
"grad",16,2,1000,100,38,"hte","4","3","2","multi_arm_causal_forest",0.0910181126740553
"fpt1",16,2,1000,100,38,"hte","4","3","2","multi_arm_causal_forest",0.0910181126740553
"fpt2",16,2,1000,100,38,"hte","4","3","2","multi_arm_causal_forest",0.0910181126740553
"grad",16,2,1000,100,39,"hte","4","3","2","multi_arm_causal_forest",0.130227625255873
"fpt1",16,2,1000,100,39,"hte","4","3","2","multi_arm_causal_forest",0.130227625255873
"fpt2",16,2,1000,100,39,"hte","4","3","2","multi_arm_causal_forest",0.130227625255873
"grad",16,2,1000,100,40,"hte","4","3","2","multi_arm_causal_forest",0.173841894233863
"fpt1",16,2,1000,100,40,"hte","4","3","2","multi_arm_causal_forest",0.173841894233863
"fpt2",16,2,1000,100,40,"hte","4","3","2","multi_arm_causal_forest",0.173841894233863
"grad",16,2,1000,100,41,"hte","4","3","2","multi_arm_causal_forest",0.149984373473556
"fpt1",16,2,1000,100,41,"hte","4","3","2","multi_arm_causal_forest",0.149984373473556
"fpt2",16,2,1000,100,41,"hte","4","3","2","multi_arm_causal_forest",0.149630170803148
"grad",16,2,1000,100,42,"hte","4","3","2","multi_arm_causal_forest",0.120140260903826
"fpt1",16,2,1000,100,42,"hte","4","3","2","multi_arm_causal_forest",0.120140260903826
"fpt2",16,2,1000,100,42,"hte","4","3","2","multi_arm_causal_forest",0.120140260903826
"grad",16,2,1000,100,43,"hte","4","3","2","multi_arm_causal_forest",0.112005075349293
"fpt1",16,2,1000,100,43,"hte","4","3","2","multi_arm_causal_forest",0.112004757517028
"fpt2",16,2,1000,100,43,"hte","4","3","2","multi_arm_causal_forest",0.112348891930246
"grad",16,2,1000,100,44,"hte","4","3","2","multi_arm_causal_forest",0.125210135402574
"fpt1",16,2,1000,100,44,"hte","4","3","2","multi_arm_causal_forest",0.125210135402574
"fpt2",16,2,1000,100,44,"hte","4","3","2","multi_arm_causal_forest",0.125210135402574
"grad",16,2,1000,100,45,"hte","4","3","2","multi_arm_causal_forest",0.122926386731532
"fpt1",16,2,1000,100,45,"hte","4","3","2","multi_arm_causal_forest",0.122926386731532
"fpt2",16,2,1000,100,45,"hte","4","3","2","multi_arm_causal_forest",0.122926386731532
"grad",16,2,1000,100,46,"hte","4","3","2","multi_arm_causal_forest",0.0821029738363066
"fpt1",16,2,1000,100,46,"hte","4","3","2","multi_arm_causal_forest",0.0821029738363066
"fpt2",16,2,1000,100,46,"hte","4","3","2","multi_arm_causal_forest",0.0821029738363066
"grad",16,2,1000,100,47,"hte","4","3","2","multi_arm_causal_forest",0.0828952333799803
"fpt1",16,2,1000,100,47,"hte","4","3","2","multi_arm_causal_forest",0.0828952333799803
"fpt2",16,2,1000,100,47,"hte","4","3","2","multi_arm_causal_forest",0.0828952333799803
"grad",16,2,1000,100,48,"hte","4","3","2","multi_arm_causal_forest",0.107768533392912
"fpt1",16,2,1000,100,48,"hte","4","3","2","multi_arm_causal_forest",0.107795846181698
"fpt2",16,2,1000,100,48,"hte","4","3","2","multi_arm_causal_forest",0.107831367482994
"grad",16,2,1000,100,49,"hte","4","3","2","multi_arm_causal_forest",0.122226629854274
