"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","tree","nsplits"
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",11,153
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",12,151
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",13,148
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",14,145
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",15,157
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",16,145
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",17,149
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",18,147
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",19,149
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",20,150
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",21,144
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",22,150
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",23,143
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",24,146
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",25,154
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",26,147
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",27,149
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",28,152
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",29,153
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",30,147
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",31,147
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",32,147
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",33,152
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",34,154
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",35,151
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",36,150
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",37,147
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",38,145
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",39,150
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",40,144
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",41,146
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",42,145
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",43,156
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",44,147
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",45,151
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",46,154
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",47,146
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",48,145
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",49,149
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",50,147
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",51,148
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",52,143
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",53,144
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",54,152
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",55,144
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",56,145
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",57,156
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",58,150
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",59,149
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",60,157
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",61,152
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",62,153
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",63,149
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",64,146
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",65,150
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",66,145
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",67,152
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",68,146
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",69,141
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",70,148
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",71,146
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",72,150
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",73,153
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",74,151
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",75,141
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",76,148
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",77,151
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",78,149
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",79,151
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",80,152
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",81,152
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",82,152
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",83,149
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",84,148
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",85,154
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",86,149
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",87,151
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",88,147
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",89,151
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",90,148
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",91,155
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",92,154
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",93,151
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",94,154
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",95,147
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",96,147
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",97,146
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",98,148
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",99,149
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",100,152
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",1,143
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",2,151
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",3,150
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",4,146
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",5,151
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",6,147
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",7,151
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",8,144
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",9,154
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",10,157
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",11,150
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",12,151
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",13,153
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",14,151
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",15,149
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",16,152
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",17,155
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",18,149
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",19,152
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",20,151
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",21,154
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",22,151
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",23,152
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",24,153
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",25,152
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",26,157
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",27,150
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",28,156
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",29,147
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",30,147
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",31,150
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",32,149
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",33,151
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",34,147
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",35,149
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",36,152
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",37,156
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",38,149
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",39,147
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",40,154
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",41,155
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",42,147
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",43,155
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",44,151
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",45,152
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",46,153
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",47,148
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",48,153
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",49,153
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",50,147
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",51,149
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",52,147
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",53,148
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",54,148
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",55,151
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",56,151
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",57,146
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",58,149
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",59,147
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",60,155
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",61,149
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",62,153
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",63,154
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",64,153
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",65,153
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",66,148
"grad",4,5,20000,100,2,"hte","1",1,1,"multi_arm_causal_forest",67,151
