"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","effect","dim_mse"
"FPT",4,5,20000,100,27,"vcm","4",4,NA,"lm_forest","theta4",0.0145884296400713
"grad",4,5,20000,100,28,"vcm","4",4,NA,"lm_forest","theta1",0.0108487384242758
"grad",4,5,20000,100,28,"vcm","4",4,NA,"lm_forest","theta2",0.0144437341343045
"grad",4,5,20000,100,28,"vcm","4",4,NA,"lm_forest","theta3",0.0136520786062761
"grad",4,5,20000,100,28,"vcm","4",4,NA,"lm_forest","theta4",0.0122577068343678
"FPT",4,5,20000,100,28,"vcm","4",4,NA,"lm_forest","theta1",0.0107397258401939
"FPT",4,5,20000,100,28,"vcm","4",4,NA,"lm_forest","theta2",0.0142921686164062
"FPT",4,5,20000,100,28,"vcm","4",4,NA,"lm_forest","theta3",0.0137181321446604
"FPT",4,5,20000,100,28,"vcm","4",4,NA,"lm_forest","theta4",0.0121174248045185
"grad",4,5,20000,100,29,"vcm","4",4,NA,"lm_forest","theta1",0.0113233321112667
"grad",4,5,20000,100,29,"vcm","4",4,NA,"lm_forest","theta2",0.0100905942529469
"grad",4,5,20000,100,29,"vcm","4",4,NA,"lm_forest","theta3",0.0109648334580573
"grad",4,5,20000,100,29,"vcm","4",4,NA,"lm_forest","theta4",0.0103854307667565
"FPT",4,5,20000,100,29,"vcm","4",4,NA,"lm_forest","theta1",0.0111074342497564
"FPT",4,5,20000,100,29,"vcm","4",4,NA,"lm_forest","theta2",0.010200928339071
"FPT",4,5,20000,100,29,"vcm","4",4,NA,"lm_forest","theta3",0.0107961915877418
"FPT",4,5,20000,100,29,"vcm","4",4,NA,"lm_forest","theta4",0.0101579337664904
"grad",4,5,20000,100,30,"vcm","4",4,NA,"lm_forest","theta1",0.0141425978039365
"grad",4,5,20000,100,30,"vcm","4",4,NA,"lm_forest","theta2",0.0146007016185186
"grad",4,5,20000,100,30,"vcm","4",4,NA,"lm_forest","theta3",0.0165461024617775
"grad",4,5,20000,100,30,"vcm","4",4,NA,"lm_forest","theta4",0.0150313744283162
"FPT",4,5,20000,100,30,"vcm","4",4,NA,"lm_forest","theta1",0.0145909123664096
"FPT",4,5,20000,100,30,"vcm","4",4,NA,"lm_forest","theta2",0.0142784990104739
"FPT",4,5,20000,100,30,"vcm","4",4,NA,"lm_forest","theta3",0.0159236526781832
"FPT",4,5,20000,100,30,"vcm","4",4,NA,"lm_forest","theta4",0.0146483180897483
"grad",4,5,20000,100,31,"vcm","4",4,NA,"lm_forest","theta1",0.0139803652784381
"grad",4,5,20000,100,31,"vcm","4",4,NA,"lm_forest","theta2",0.01482327496911
"grad",4,5,20000,100,31,"vcm","4",4,NA,"lm_forest","theta3",0.013956733764517
"grad",4,5,20000,100,31,"vcm","4",4,NA,"lm_forest","theta4",0.0100248146174003
"FPT",4,5,20000,100,31,"vcm","4",4,NA,"lm_forest","theta1",0.014039036284036
