"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","effect","dim_mse"
"FPT",4,5,20000,100,24,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.008126807414914
"grad",4,5,20000,100,25,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00787587952217775
"grad",4,5,20000,100,25,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0185954669398634
"grad",4,5,20000,100,25,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.011883484541971
"FPT",4,5,20000,100,25,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00852110701091024
"FPT",4,5,20000,100,25,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0192423490382546
"FPT",4,5,20000,100,25,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0121824005907187
"grad",4,5,20000,100,26,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00908851715536627
"grad",4,5,20000,100,26,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0216356869656694
"grad",4,5,20000,100,26,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.022561772501335
"FPT",4,5,20000,100,26,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0086106201422661
"FPT",4,5,20000,100,26,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0193864617368447
"FPT",4,5,20000,100,26,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0191657138035098
"grad",4,5,20000,100,27,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0107302563490069
"grad",4,5,20000,100,27,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0153964095788854
"grad",4,5,20000,100,27,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0137860918728846
"FPT",4,5,20000,100,27,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00845225774495925
"FPT",4,5,20000,100,27,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.012733377679942
"FPT",4,5,20000,100,27,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0104626404074635
"grad",4,5,20000,100,28,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0183164307886268
"grad",4,5,20000,100,28,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0123865020260117
"grad",4,5,20000,100,28,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0144704200054615
"FPT",4,5,20000,100,28,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0170289667550092
"FPT",4,5,20000,100,28,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0131108742319605
"FPT",4,5,20000,100,28,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0125453700285718
"grad",4,5,20000,100,29,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00771427788085535
"grad",4,5,20000,100,29,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0144373531267271
"grad",4,5,20000,100,29,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.011345695445482
"FPT",4,5,20000,100,29,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00749454269205845
"FPT",4,5,20000,100,29,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0142384654784772
"FPT",4,5,20000,100,29,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0112444532022313
"grad",4,5,20000,100,30,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0135419451959898
"grad",4,5,20000,100,30,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00842620078561493
"grad",4,5,20000,100,30,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.017184906273778
"FPT",4,5,20000,100,30,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0136427022110246
"FPT",4,5,20000,100,30,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00872695852053998
"FPT",4,5,20000,100,30,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0138074591527574
"grad",4,5,20000,100,31,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0215224956860859
"grad",4,5,20000,100,31,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.016677963913435
"grad",4,5,20000,100,31,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0170483804903911
"FPT",4,5,20000,100,31,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0198343707827751
"FPT",4,5,20000,100,31,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0162802152194454
