"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"fpt1",4,5,10000,100,48,"vcm","2",2,NA,"lm_forest",0.0108797428781008
"fpt2",4,5,10000,100,48,"vcm","2",2,NA,"lm_forest",0.0106543041827651
"grad",4,5,10000,100,49,"vcm","2",2,NA,"lm_forest",0.00978398661293148
"fpt1",4,5,10000,100,49,"vcm","2",2,NA,"lm_forest",0.0098355095743423
"fpt2",4,5,10000,100,49,"vcm","2",2,NA,"lm_forest",0.00999284943209023
"grad",4,5,10000,100,50,"vcm","2",2,NA,"lm_forest",0.0147403914115783
"fpt1",4,5,10000,100,50,"vcm","2",2,NA,"lm_forest",0.0143345765148033
"fpt2",4,5,10000,100,50,"vcm","2",2,NA,"lm_forest",0.0142580972179439
"grad",256,5,10000,100,1,"vcm","2",2,NA,"lm_forest",0.0436115597831487
"fpt1",256,5,10000,100,1,"vcm","2",2,NA,"lm_forest",0.0400413584415486
"fpt2",256,5,10000,100,1,"vcm","2",2,NA,"lm_forest",0.0478111090517166
"grad",256,5,10000,100,2,"vcm","2",2,NA,"lm_forest",0.0416239505197116
"fpt1",256,5,10000,100,2,"vcm","2",2,NA,"lm_forest",0.03707404515925
"fpt2",256,5,10000,100,2,"vcm","2",2,NA,"lm_forest",0.0437659652361526
"grad",256,5,10000,100,3,"vcm","2",2,NA,"lm_forest",0.036226984865841
"fpt1",256,5,10000,100,3,"vcm","2",2,NA,"lm_forest",0.0345620642471874
"fpt2",256,5,10000,100,3,"vcm","2",2,NA,"lm_forest",0.0429982722261771
"grad",256,5,10000,100,4,"vcm","2",2,NA,"lm_forest",0.0415428347010442
"fpt1",256,5,10000,100,4,"vcm","2",2,NA,"lm_forest",0.0377679160882616
"fpt2",256,5,10000,100,4,"vcm","2",2,NA,"lm_forest",0.0456616193181165
"grad",256,5,10000,100,5,"vcm","2",2,NA,"lm_forest",0.0408647882671912
"fpt1",256,5,10000,100,5,"vcm","2",2,NA,"lm_forest",0.0386099027605227
"fpt2",256,5,10000,100,5,"vcm","2",2,NA,"lm_forest",0.047836446760792
"grad",256,5,10000,100,6,"vcm","2",2,NA,"lm_forest",0.0501416594921274
"fpt1",256,5,10000,100,6,"vcm","2",2,NA,"lm_forest",0.0447438482710218
"fpt2",256,5,10000,100,6,"vcm","2",2,NA,"lm_forest",0.0556696487376998
"grad",256,5,10000,100,7,"vcm","2",2,NA,"lm_forest",0.0449135880211101
"fpt1",256,5,10000,100,7,"vcm","2",2,NA,"lm_forest",0.0393282055500554
"fpt2",256,5,10000,100,7,"vcm","2",2,NA,"lm_forest",0.0517888929468032
"grad",256,5,10000,100,8,"vcm","2",2,NA,"lm_forest",0.0438679421680689
"fpt1",256,5,10000,100,8,"vcm","2",2,NA,"lm_forest",0.0402472922911272
"fpt2",256,5,10000,100,8,"vcm","2",2,NA,"lm_forest",0.0468366878508848
"grad",256,5,10000,100,9,"vcm","2",2,NA,"lm_forest",0.0441496212455565
"fpt1",256,5,10000,100,9,"vcm","2",2,NA,"lm_forest",0.0403131551140561
"fpt2",256,5,10000,100,9,"vcm","2",2,NA,"lm_forest",0.0449772968002063
"grad",256,5,10000,100,10,"vcm","2",2,NA,"lm_forest",0.0436411267884817
"fpt1",256,5,10000,100,10,"vcm","2",2,NA,"lm_forest",0.0405277298344354
"fpt2",256,5,10000,100,10,"vcm","2",2,NA,"lm_forest",0.0431469487153126
"grad",256,5,10000,100,11,"vcm","2",2,NA,"lm_forest",0.0455704242018097
"fpt1",256,5,10000,100,11,"vcm","2",2,NA,"lm_forest",0.0399549887054611
"fpt2",256,5,10000,100,11,"vcm","2",2,NA,"lm_forest",0.0480981331220133
"grad",256,5,10000,100,12,"vcm","2",2,NA,"lm_forest",0.0488276382639439
"fpt1",256,5,10000,100,12,"vcm","2",2,NA,"lm_forest",0.0421901821847117
"fpt2",256,5,10000,100,12,"vcm","2",2,NA,"lm_forest",0.0517221791484982
"grad",256,5,10000,100,13,"vcm","2",2,NA,"lm_forest",0.0455641809300939
"fpt1",256,5,10000,100,13,"vcm","2",2,NA,"lm_forest",0.0410754993077999
"fpt2",256,5,10000,100,13,"vcm","2",2,NA,"lm_forest",0.0512643727543189
"grad",256,5,10000,100,14,"vcm","2",2,NA,"lm_forest",0.0393135036868295
"fpt1",256,5,10000,100,14,"vcm","2",2,NA,"lm_forest",0.0367787003292377
"fpt2",256,5,10000,100,14,"vcm","2",2,NA,"lm_forest",0.0452887972079011
"grad",256,5,10000,100,15,"vcm","2",2,NA,"lm_forest",0.0422001174770007
"fpt1",256,5,10000,100,15,"vcm","2",2,NA,"lm_forest",0.038549259469117
"fpt2",256,5,10000,100,15,"vcm","2",2,NA,"lm_forest",0.0467512038829199
"grad",256,5,10000,100,16,"vcm","2",2,NA,"lm_forest",0.0409790185443132
"fpt1",256,5,10000,100,16,"vcm","2",2,NA,"lm_forest",0.0370914171954821
"fpt2",256,5,10000,100,16,"vcm","2",2,NA,"lm_forest",0.0456669238262946
"grad",256,5,10000,100,17,"vcm","2",2,NA,"lm_forest",0.0409973683255554
"fpt1",256,5,10000,100,17,"vcm","2",2,NA,"lm_forest",0.0362147071105316
"fpt2",256,5,10000,100,17,"vcm","2",2,NA,"lm_forest",0.0437805154564612
"grad",256,5,10000,100,18,"vcm","2",2,NA,"lm_forest",0.0368611459265728
